"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/05/2022","AQS","490110004","5","8","ug/m3 SC","7","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"01/11/2022","AQS","490110004","5","43","ug/m3 SC","40","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"01/17/2022","AQS","490110004","5","47","ug/m3 SC","44","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"01/23/2022","AQS","490110004","5","21","ug/m3 SC","19","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"01/29/2022","AQS","490110004","5","35","ug/m3 SC","32","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"02/04/2022","AQS","490110004","5","20","ug/m3 SC","19","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"02/10/2022","AQS","490110004","5","18","ug/m3 SC","17","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"02/16/2022","AQS","490110004","5","7","ug/m3 SC","6","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"03/06/2022","AQS","490110004","5","3","ug/m3 SC","3","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
"03/12/2022","AQS","490110004","5","7","ug/m3 SC","6","Bountiful Viewmont","1","100.0000","81102","PM10 Total 0-10um STP","36260","Ogden-Clearfield, UT","49","Utah","011","Davis","40.902967","-111.884467"
